scenario_id,scenario_label,season,week,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,is_active_pid,is_active_nm,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Efton Chism III,WR,00-0040563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Kayshon Boutte,WR,00-0038608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.704752428308466,3.402657643079563,25.81492174608627,0.2340685286835988,0.20869241322976329,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Kyle Williams,WR,00-0040131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Mack Hollins,WR,00-0033555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8065339211898968,2.3828700408509698,15.590188034891316,0.15265338827191224,0.14157278880913005,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Stefon Diggs,WR,00-0031588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57268021456876,5.2604885223870985,32.29396092941772,0.3053067765438245,0.2631027230870656,1.0,1.0,72.69773005986009,32.350489876637745,38.13601756056828,181.91927206947852,139.80551737782406,1.4402823563502438,0.8557645830834342,0.8009704918032785,1.0176892551460817,1.0096906952758347,1.01234987239554,1.0176892551460817
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Sam Darnold,QB,00-0034869,1.0,38.63435024630659,279.7541967766156,1.960303904360524,0.8679659999170233,5.868633749438964,21.81434200365601,0.17554960337556932,0.0,0.0,0.0,0.0,0.16100422088145827,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,George Holani,RB,00-0039299,1.0,0.0,0.0,0.0,0.0,7.742651249259809,34.19545503275807,0.17554960337556932,3.1365134997001523,2.1205987497972725,20.242137174563688,0.17554960337556932,0.29608608262127123,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Kenneth Walker III,RB,00-0038134,1.0,0.0,0.0,0.0,0.0,13.946635498666714,55.321957423686186,0.5071432986405336,5.040120749518169,3.590222999656778,24.56570045456758,0.29258267229261553,0.5505478898140017,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,AJ Barner,TE,00-0039793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26921524930507,4.5962744995606,38.813806718216775,0.40961574120966177,0.3360946874195009,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Elijah Arroyo,TE,00-0040739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7578982496407485,1.933196999815188,23.091758427293524,0.21456062634791806,0.19310410890205143,1.0,1.0,71.01539999321099,40.676042996111406,27.55792049736549,307.56256969118607,135.79919211284957,2.387426902341723,0.8152189422630274,1.030997014925373,0.9752755743087185,0.9863249999057082,0.9826280181827032,0.9752755743087185
