scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Drew Sample,TE,00-0035631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Mike Gesicki,TE,00-0034829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,4.8,42.1,0.43,0.3494909052766835,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Noah Fant,TE,00-0035644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,2.76,20.5,0.21,0.18941575402981292,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Tanner Hudson,TE,00-0034613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Andrei Iosivas,WR,00-0038619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,2.39,26.9,0.27,0.23662050566314685,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Charlie Jones,WR,00-0038576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Cole Burgess,WR,00-0039626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,0.0,0.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Ja'Marr Chase,WR,00-0036900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,5.68,52.4,0.54,0.41725174762601036,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Mitchell Tinsley,WR,00-0038839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,14,0.0,2025_14_CIN_BUF,Cincinnati Bengals,Tee Higgins,WR,00-0036410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.99,39.9,0.41,0.3363497498636806,72.0,39.85,29.49,302.5,145.8,2.416233780911783,0.8477295316263511,0.996316939773545,1.0,1.0,1.0,1.0,1.0,1.0
