scenario_id,position,scenario_label,n_rows,mae_pass_attempts,mae_pass_yards,mae_pass_tds,mae_interceptions,mae_rush_attempts,mae_rush_yards,mae_rush_tds,mae_targets,mae_receptions,mae_rec_yards,mae_rec_tds,brier_any_td,any_td_rate,mae_mean
v2_neutral_site,RB,Neutral site,96,0.013333333333333334,0.0,0.0,0.0,4.681531445179835,19.17171197975795,0.4163109028293288,1.7381959102657467,1.282781461285461,14.374196852260823,0.21310703038068618,0.16911045936113545,0.20833333333333334,3.8082880832084696
v2_precip_plus25,RB,Precip +25%,96,0.013333333333333334,0.0,0.0,0.0,4.694995286647316,19.200089531210427,0.41636914481215065,1.7373693380838613,1.2813712851183134,14.357316654895985,0.2130768451524294,0.16907075030251964,0.20833333333333334,3.8103564926594387
v2_precip_plus50,RB,Precip +50%,96,0.013333333333333334,0.0,0.0,0.0,4.693200835019482,19.264072668576954,0.41649290494832847,1.738353841115507,1.2820375728941509,14.3732918580914,0.21277198051298246,0.16891958415300598,0.20833333333333334,3.817595908590194
v2_pressure_plus005,RB,Home/away pressure +0.05,96,0.013333333333333334,0.0,0.0,0.0,4.684890469269191,19.135815028773674,0.414572254920046,1.7285668951551865,1.2767430963546749,14.319528793251566,0.21101632095436113,0.16843383879094723,0.20833333333333334,3.7985878356374574
v2_rest_minus7,RB,Home rest -7 days (diff),96,0.013333333333333334,0.0,0.0,0.0,4.7032874122644355,19.198980701358767,0.4166478746527263,1.736676996028856,1.2795818795570997,14.33479863968566,0.21298093418507186,0.16904635192065431,0.20833333333333334,3.8087534337332674
v2_rest_plus7,RB,Home rest +7 days (diff),96,0.013333333333333334,0.0,0.0,0.0,4.693178627881408,19.174374118064975,0.41573359665945847,1.7395335125188316,1.2838229271352881,14.376823742966431,0.2131574908977982,0.1687216256824787,0.20833333333333334,3.8099961226779566
v2_sigma_high,RB,High volatility,96,0.013333333333333334,0.0,0.0,0.0,4.687835689053142,19.179049359482168,0.41593055967304454,1.738778165698387,1.2840485339374788,14.382248799857006,0.21347968006075405,0.16878767127277197,0.20833333333333334,3.8104276473723018
v2_sigma_low,RB,Low volatility,96,0.013333333333333334,0.0,0.0,0.0,4.693553937960719,19.19999895273917,0.41597369934867445,1.7375344718253485,1.2818043912776884,14.359200111913129,0.21298242556570607,0.1690061234914376,0.20833333333333334,3.810398302178525
v2_spread_home_minus3,RB,Spread home -3.0,96,0.013333333333333334,0.0,0.0,0.0,4.728889041740161,19.09806281412193,0.4131339728862216,1.7348789762499912,1.2833175852375165,14.413792945997429,0.21358185561437756,0.1672773268179711,0.20833333333333334,3.808999138652815
v2_spread_home_plus3,RB,Spread home +3.0,96,0.013333333333333334,0.0,0.0,0.0,4.6591172531738865,19.33067850863276,0.4200615106118194,1.742538734700785,1.2832323356227548,14.338419798595881,0.21263506672077254,0.1714394825950917,0.20833333333333334,3.8181833219447268
