player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Dallas Goedert,PHI,Receiving Yards,30.0,-170.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,12.299999999999997,0.2155124512031829,,,12.299999999999997
Jaxson Dart,NYG,Rushing Yards,15.0,-1400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,3.1,-11.9,-0.7882187037971153,,,11.9
Theo Johnson,NYG,Receiving Yards,25.0,-190.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,11.200000000000003,0.13709832146785172,,,11.200000000000003
AJ Brown,PHI,Receiving Yards,50.0,-250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,60.1,10.100000000000001,0.013296599992738078,,,10.100000000000001
AJ Brown,PHI,Receiving Yards,70.0,105.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,60.1,-9.899999999999999,-0.42566280336248563,,,9.899999999999999
Saquon Barkley,PHI,Receiving Yards,15.0,-140.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rec_yards,23.6,8.600000000000001,0.18890922166274982,,,8.600000000000001
Jalen Hurts,PHI,Rushing Yards,15.0,-1400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,8.3,-0.2249696937689864,,,8.3
Dallas Goedert,PHI,Receiving Yards,50.0,225.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,-7.700000000000003,0.05721053686435851,,,7.700000000000003
Jalen Hurts,PHI,Rushing Yards,30.0,-250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,-6.699999999999999,-0.5574295162127919,,,6.699999999999999
Saquon Barkley,PHI,Receiving Yards,30.0,275.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rec_yards,23.6,-6.399999999999999,0.32481326958114864,,,6.399999999999999
Theo Johnson,NYG,Receiving Yards,30.0,-130.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,6.200000000000003,0.13643799059875367,,,6.200000000000003
Jalen Hurts,PHI,Passing Yards,300.0,900.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,-6.100000000000023,3.3082046288665454,,,6.100000000000023
DeVonta Smith,PHI,Receiving Yards,50.0,-145.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,-5.700000000000003,-0.3770214086154801,,,5.700000000000003
Wan'dale Robinson,NYG,Receiving Yards,40.0,-180.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,5.700000000000003,-0.017980290480986538,,,5.700000000000003
DeVonta Smith,PHI,Receiving Yards,40.0,-230.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,4.299999999999997,-0.13935545862074794,,,4.299999999999997
Wan'dale Robinson,NYG,Receiving Yards,50.0,,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,-4.299999999999997,,,,4.299999999999997
Wan'dale Robinson,NYG,Receptions,3.0,-1000.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,4.24,0.09939054830537912,,,4.24
Jaxson Dart,NYG,Passing Yards,250.0,525.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,253.8,3.8000000000000114,2.3951799267003464,,,3.8000000000000114
Theo Johnson,NYG,Receiving Yards,40.0,150.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,-3.799999999999997,0.02890436858804757,,,3.799999999999997
AJ Brown,PHI,Receptions,3.0,-900.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,3.7199999999999998,0.10876894251601045,,,3.7199999999999998
Saquon Barkley,PHI,Receiving Yards,20.0,120.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rec_yards,23.6,3.6000000000000014,0.2844803348799656,,,3.6000000000000014
Jalen Hurts,PHI,Rushing Yards,20.0,-650.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,3.3000000000000007,-0.31556983681856066,,,3.3000000000000007
Dallas Goedert,PHI,Receptions,3.0,-450.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,3.26,0.21479585118620378,,,3.26
Wan'dale Robinson,NYG,Receptions,4.0,-350.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,3.24,0.2775553975825701,,,3.24
Theo Johnson,NYG,Receptions,2.0,-1600.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,3.17,0.0546641006335824,,,3.17
DeVonta Smith,PHI,Receptions,3.0,-900.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,3.0300000000000002,0.10013026033156132,,,3.0300000000000002
DeVonta Smith,PHI,Receptions,9.0,700.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,-2.9699999999999998,-0.9106584398460824,,,2.9699999999999998
Theo Johnson,NYG,Receptions,8.0,750.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,-2.83,-0.874683193998209,,,2.83
AJ Brown,PHI,Receptions,4.0,-325.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,2.7199999999999998,0.2838851153557909,,,2.7199999999999998
Dallas Goedert,PHI,Receiving Yards,40.0,120.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,2.299999999999997,0.21838273066869696,,,2.299999999999997
AJ Brown,PHI,Receptions,9.0,850.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,-2.2800000000000002,-0.6225798571440714,,,2.2800000000000002
